"truncLenF","truncLenR","maxEE","trimLeft","richness","shannon"
260,220,2,10,NA,NA
240,220,2,10,84.15,3.4019717365657
220,220,2,10,86.45,3.41662262392394
200,220,2,10,86.35,3.41325886792511
180,220,2,10,87.5,3.42074347047733
260,200,2,10,NA,NA
240,200,2,10,85.8,3.40064922907358
220,200,2,10,88.35,3.41699063278012
200,200,2,10,88.45,3.41518637884434
180,200,2,10,89.55,3.4213447877705
260,180,2,10,NA,NA
240,180,2,10,84.8,3.39383375974271
220,180,2,10,87,3.40755532224334
200,180,2,10,87.4,3.41145675531279
180,180,2,10,88.6,3.41788139381488
260,160,2,10,NA,NA
240,160,2,10,82.9,3.42961207327917
220,160,2,10,85,3.44578139810114
200,160,2,10,85.05,3.44720728670051
180,160,2,10,85.75,3.45183830094266
260,140,2,10,NA,NA
240,140,2,10,78.35,3.42688168839752
220,140,2,10,80.35,3.4424991199102
200,140,2,10,80.75,3.44710670261569
180,140,2,10,81.25,3.45039197057375
260,220,4,10,NA,NA
240,220,4,10,83.7,3.38502371592095
220,220,4,10,85.75,3.39382984295026
200,220,4,10,85.5,3.38515446752584
180,220,4,10,86.75,3.38891142790699
260,200,4,10,NA,NA
240,200,4,10,86.05,3.40187657372042
220,200,4,10,88.3,3.41100755761024
200,200,4,10,88.35,3.40613789667113
180,200,4,10,89.55,3.4109978133746
260,180,4,10,NA,NA
240,180,4,10,85.05,3.39991921213081
220,180,4,10,87.1,3.41089026996495
200,180,4,10,87.5,3.41153211795372
180,180,4,10,88.7,3.41564003386628
260,160,4,10,NA,NA
240,160,4,10,82.95,3.43565800762587
220,160,4,10,84.85,3.44768337776374
200,160,4,10,84.95,3.44817881366064
180,160,4,10,85.65,3.45037692418656
260,140,4,10,NA,NA
240,140,4,10,78.95,3.43642071886733
220,140,4,10,80.95,3.45011824513137
200,140,4,10,81,3.45088906354158
180,140,4,10,81.7,3.45307234344455
260,220,2,20,NA,NA
240,220,2,20,85.45,3.40317714427626
220,220,2,20,87.55,3.41013722577339
200,220,2,20,87,3.38927342959129
180,220,2,20,87.8,3.39156010279472
260,200,2,20,NA,NA
240,200,2,20,87.35,3.40340023985865
220,200,2,20,89.2,3.40946543517013
200,200,2,20,89.35,3.40570921163462
180,200,2,20,90.5,3.41069292113127
260,180,2,20,NA,NA
240,180,2,20,86,3.39288969761174
220,180,2,20,88,3.39876423584178
200,180,2,20,88.2,3.40015958063319
180,180,2,20,89.1,3.4024527839936
260,160,2,20,NA,NA
240,160,2,20,84.05,3.42766186742939
220,160,2,20,85.7,3.43597946277249
200,160,2,20,85.95,3.44184793840771
180,160,2,20,86.5,3.44303078238725
260,140,2,20,NA,NA
240,140,2,20,79.4,3.42324634844959
220,140,2,20,81.2,3.43447856822199
200,140,2,20,81.85,3.44082286873898
180,140,2,20,82.1,3.44131070882527
260,220,4,20,NA,NA
240,220,4,20,85.4,3.39134658145049
220,220,4,20,86.8,3.378179908078
200,220,4,20,86.7,3.36671575273789
180,220,4,20,87.45,3.36558902659727
260,200,4,20,NA,NA
240,200,4,20,87.6,3.40687223415112
220,200,4,20,89.15,3.40428898947751
200,200,4,20,89.4,3.39791226424698
180,200,4,20,90.4,3.40041560454522
260,180,4,20,NA,NA
240,180,4,20,86.25,3.4002421447342
220,180,4,20,87.8,3.39835870939373
200,180,4,20,88.05,3.39720307939772
180,180,4,20,88.95,3.39790514055646
260,160,4,20,NA,NA
240,160,4,20,83.95,3.43558303188977
220,160,4,20,85.45,3.43824826221699
200,160,4,20,85.6,3.43937915429536
180,160,4,20,86.2,3.44088144421725
260,140,4,20,NA,NA
240,140,4,20,80.3,3.43766825376624
220,140,4,20,81.75,3.4421894283808
200,140,4,20,81.9,3.44379853149364
180,140,4,20,82.1,3.44197365698969
